Categoría: Todas las categorías

Semana,On running: (Canadá)
2020-03-08,51
2020-03-15,52
2020-03-22,60
2020-03-29,61
2020-04-05,68
2020-04-12,70
2020-04-19,71
2020-04-26,71
2020-05-03,73
2020-05-10,69
2020-05-17,70
2020-05-24,78
2020-05-31,68
2020-06-07,67
2020-06-14,71
2020-06-21,66
2020-06-28,64
2020-07-05,71
2020-07-12,62
2020-07-19,66
2020-07-26,67
2020-08-02,61
2020-08-09,60
2020-08-16,58
2020-08-23,56
2020-08-30,55
2020-09-06,60
2020-09-13,62
2020-09-20,60
2020-09-27,62
2020-10-04,56
2020-10-11,62
2020-10-18,59
2020-10-25,58
2020-11-01,54
2020-11-08,60
2020-11-15,61
2020-11-22,57
2020-11-29,60
2020-12-06,58
2020-12-13,52
2020-12-20,55
2020-12-27,65
2021-01-03,57
2021-01-10,61
2021-01-17,59
2021-01-24,55
2021-01-31,57
2021-02-07,63
2021-02-14,57
2021-02-21,57
2021-02-28,58
2021-03-07,58
2021-03-14,55
2021-03-21,67
2021-03-28,61
2021-04-04,67
2021-04-11,58
2021-04-18,62
2021-04-25,61
2021-05-02,61
2021-05-09,61
2021-05-16,68
2021-05-23,61
2021-05-30,64
2021-06-06,62
2021-06-13,61
2021-06-20,58
2021-06-27,64
2021-07-04,60
2021-07-11,62
2021-07-18,58
2021-07-25,61
2021-08-01,64
2021-08-08,55
2021-08-15,61
2021-08-22,61
2021-08-29,57
2021-09-05,62
2021-09-12,60
2021-09-19,62
2021-09-26,62
2021-10-03,59
2021-10-10,55
2021-10-17,56
2021-10-24,56
2021-10-31,58
2021-11-07,56
2021-11-14,56
2021-11-21,57
2021-11-28,59
2021-12-05,57
2021-12-12,53
2021-12-19,56
2021-12-26,56
2022-01-02,66
2022-01-09,66
2022-01-16,64
2022-01-23,66
2022-01-30,69
2022-02-06,64
2022-02-13,72
2022-02-20,68
2022-02-27,73
2022-03-06,72
2022-03-13,76
2022-03-20,79
2022-03-27,76
2022-04-03,75
2022-04-10,78
2022-04-17,79
2022-04-24,77
2022-05-01,75
2022-05-08,80
2022-05-15,74
2022-05-22,68
2022-05-29,81
2022-06-05,81
2022-06-12,77
2022-06-19,81
2022-06-26,69
2022-07-03,80
2022-07-10,68
2022-07-17,82
2022-07-24,73
2022-07-31,71
2022-08-07,80
2022-08-14,71
2022-08-21,78
2022-08-28,71
2022-09-04,75
2022-09-11,81
2022-09-18,81
2022-09-25,83
2022-10-02,80
2022-10-09,83
2022-10-16,80
2022-10-23,79
2022-10-30,74
2022-11-06,80
2022-11-13,76
2022-11-20,73
2022-11-27,61
2022-12-04,63
2022-12-11,66
2022-12-18,66
2022-12-25,67
2023-01-01,66
2023-01-08,64
2023-01-15,82
2023-01-22,77
2023-01-29,74
2023-02-05,76
2023-02-12,76
2023-02-19,73
2023-02-26,80
2023-03-05,78
2023-03-12,76
2023-03-19,84
2023-03-26,87
2023-04-02,93
2023-04-09,90
2023-04-16,89
2023-04-23,81
2023-04-30,87
2023-05-07,80
2023-05-14,89
2023-05-21,86
2023-05-28,89
2023-06-04,80
2023-06-11,83
2023-06-18,82
2023-06-25,83
2023-07-02,78
2023-07-09,78
2023-07-16,85
2023-07-23,82
2023-07-30,87
2023-08-06,89
2023-08-13,82
2023-08-20,89
2023-08-27,89
2023-09-03,82
2023-09-10,84
2023-09-17,93
2023-09-24,86
2023-10-01,83
2023-10-08,83
2023-10-15,86
2023-10-22,76
2023-10-29,78
2023-11-05,82
2023-11-12,83
2023-11-19,93
2023-11-26,89
2023-12-03,70
2023-12-10,77
2023-12-17,78
2023-12-24,89
2023-12-31,84
2024-01-07,89
2024-01-14,82
2024-01-21,90
2024-01-28,93
2024-02-04,87
2024-02-11,87
2024-02-18,84
2024-02-25,84
2024-03-03,90
2024-03-10,90
2024-03-17,89
2024-03-24,90
2024-03-31,88
2024-04-07,94
2024-04-14,94
2024-04-21,87
2024-04-28,92
2024-05-05,92
2024-05-12,94
2024-05-19,96
2024-05-26,93
2024-06-02,93
2024-06-09,88
2024-06-16,87
2024-06-23,88
2024-06-30,90
2024-07-07,97
2024-07-14,97
2024-07-21,95
2024-07-28,89
2024-08-04,92
2024-08-11,95
2024-08-18,90
2024-08-25,96
2024-09-01,92
2024-09-08,84
2024-09-15,86
2024-09-22,87
2024-09-29,90
2024-10-06,84
2024-10-13,81
2024-10-20,86
2024-10-27,80
2024-11-03,82
2024-11-10,85
2024-11-17,86
2024-11-24,93
2024-12-01,87
2024-12-08,88
2024-12-15,75
2024-12-22,92
2024-12-29,81
2025-01-05,83
2025-01-12,83
2025-01-19,85
2025-01-26,92
2025-02-02,90
2025-02-09,86
2025-02-16,92
2025-02-23,93
2025-03-02,100
2025-03-09,96
